順位,利用者,編集回数,総編集回数,個人ページサイズ,編集量の平均,編集量の標準偏差
79,Suikotei,377,7517,,49.792,172.189642
80,しっち,369,2993,,86.266,105.703771
80,210.162.60.12,369,2868,,-4.922,22.77033
82,HTTH,367,1412,4798,63.438776,152.609216
83,とほほのほ,364,2648,158,116.768,198.800418
84,Atsonivt,360,6401,,40.745455,120.810294
85,みそ煮込みうどん,357,1126,,63.77666,121.162397
86,頭蓋骨抉る,351,4170,,212.516,207.587114
87,Hruygo,347,16985,1120,123.17,255.077708
87,山の山手線,347,5167,5743,81.926,122.183045
89,Kurirai1,345,4309,,108.58,183.021506
90,松茸,340,58631,8973,132.40481,200.528541
91,LearningBox,339,18796,2906,77.532129,218.532813
92,モンゴルの白い虎,335,31560,,28.016,158.690402
92,Unamu,335,27196,998,86.16,192.293844
92,Ryun,335,815,28,-49.357143,178.662334
95,サカガミタロウ,332,9641,897,187.839679,261.192829
96,Sumaru,331,6622,8855,113.082,190.642218
97,ケイ20003,330,7678,,79.356,184.545575
97,アストロニクル,330,2816,708,126.894,225.11133
99,2407:C800:34F0:A:0:0:2:FC22,329,329,,29.736364,96.665247
100,Softyu,326,4284,0,69.695565,225.876702
101,Rojet,324,1228,,135.568273,190.778569
102,JR1NVB,323,10350,2585,48.454,90.091686
103,220.247.111.83,322,398,,139.220441,180.176699
104,Kashima51,316,4488,2354,149.768,190.217671
105,Tonbi ko,315,1294,17055,128.425703,265.942296
105,153.192.100.232,315,615,,0.388,49.055616
105,Gagagagazette26,315,589,53,53.983903,156.716663
108,中竹たけし,314,3132,2137,99.344758,181.541795
109,Gowithitjam,309,309,131,89.253036,291.874049
110,MaximusM4,303,12053,3505,18.55511,159.396817
111,いいすく,302,26195,707,26.362,160.733441
111,58.0.75.79,302,303,,41.605991,128.446654
113,220.147.165.60,300,386,,37.280561,84.279627
114,Hyuki-h,298,9464,,52.912,107.260339
114,134.208.33.109,298,686,,88.468,153.301406
116,KASEI,295,14728,3706,78.9,188.001367
116,タバコはマーダー,295,1897,,82.240891,235.709259
116,123.230.197.118,295,295,,175.04,228.308621
119,馳夫,293,293,1337,-21.82,85.875699
,Tribot,290,212817,20830,25.65,23.360383
120,SSC,290,21451,170,88.968,163.015518
121,DEBUZ,281,791,,139.010331,247.548071
121,Corpsebot,281,399,594,4.988,23.157631
123,Fielder,278,5974,410,61.752,262.432846
124,Inglid,275,300,78,154.018256,235.161102
125,Ktp625,273,4440,,117.8107,263.545947
126,Dɐ,270,2139,2694,94.73306,163.633331
127,Geogie,268,37535,3178,117.29697,200.599371
128,美区,267,3961,70,106.341053,213.463493
128,布哇,267,2852,967,17.174699,283.357501
130,兼六園ランド,266,425,,133.822102,236.144756
131,カレー風味ハヤシライス,265,19639,13307,80.15,125.733828
131,Kekusnek,265,3470,,83.631048,134.77774
133,超プロ住民,264,32225,,61.945455,125.56532
134,山田晴通,263,16205,77325,86.14,174.081017
135,Aoiya,258,25050,87,67.732252,189.80101
136,2407:C800:34F0:A:0:0:2:EC0B,257,257,,10.916031,93.065932
137,Xapones,256,15209,300,49.200811,173.097524
137,Benichan,256,4325,,209.843373,243.560132
137,ワーナー成増,256,1373,78415,52.128,216.488345
140,JamvBot,255,263,664,49.1,111.838811
141,122.17.103.226,252,848,,85.068,163.540378
142,Bonnie lepps,246,3087,0,167.412475,223.131808
142,60.37.119.126,246,970,,196.285141,228.030116
144,欣之介くん,244,397,59,66.206897,216.180487
145,さかおり,243,13498,20234,29.286,253.894128
146,Scoutsscouts,240,443,,14.954955,51.809489
,BankuBot,239,43996,70,8.208,26.460173
147,M9106TB,239,10757,,86.943888,217.651983
148,121.116.225.167,238,238,,59.066,132.183061
149,219.43.134.94,237,12332,,57.23,93.340779
149,Ackeyyama,237,6628,,64.080321,158.569729
151,Banpei,236,1499,,90.384,149.840384
151,Homura magica,236,542,58,155.642857,239.215386
153,上州力,234,9509,1043,33.922,51.327224
154,Lovesouleyes,232,8846,1336,101.30101,262.077204
155,コシャリ,228,8086,,156.78,219.077711
155,OskNe,228,3751,553,49.16,220.827268
157,博多商人コイツミ,222,15882,6988,182.051335,307.586344
158,Tomato tomato tomato,220,224,1030,-131.126761,235.656748
159,Harima49,219,5724,,-4.9,30.380026
159,ノフノフ,219,2440,23288,48.757576,152.199158
159,180.2.164.59,219,219,,191.568376,241.112197
162,新家,215,1041,,43.642,85.031723
163,TAMA,213,15078,,6.466,85.746678
163,Shinsh,213,1631,196,143.566,201.075274
165,Miraculous,210,210,55,37.134868,24.506945
166,Quark Logo,208,1647,3460,117.29878,270.955382
166,☆あらは,208,1404,2506,31.747967,165.886549
168,ゼロツー,207,15628,709,43.102,172.469451
168,豆もち,207,2805,,-16.274,136.559683
168,ShuBraque,207,208,1808,62.215078,182.152869
168,Meneaki1283,207,207,,54.438356,169.203964
172,Iceandsnow7,205,2278,,101.627291,223.012484
172,孫子兵法,205,294,,81.389522,230.329072
174,Platinum-phantom,202,2162,30838,220.418367,298.715041
175,Chiba ryo,201,11586,91671,123.995976,225.895268
175,WEWEE,201,7391,,29.53507,125.880993
175,Assemblykinematics,201,372,26865,176.597561,296.201372
178,Komaru,200,13826,,209.247465,246.540847
178,124.33.203.210,200,825,,139.266533,217.887579
178,221.118.87.67,200,378,,64.574,154.795144
181,Magyon,198,18758,3654,108.417671,245.717592
181,Zezezozo,198,409,,51.804,75.095443
181,Kbgks,198,269,,103.612,196.384097
181,Namatamago195,198,242,454,37.417219,97.462668
181,219.97.22.191,198,198,,113.703518,137.325486
186,Muyo,197,30028,57171,56.756539,290.838922
186,麒麟檸檬,197,2520,,33.03006,192.936046
186,ホージー,197,433,,129.785714,245.306275
189,Wjp28y,196,9897,17651,57.110887,196.606948
189,Menetoko,196,880,1507,90.122244,256.447847
191,ＫｏＺ,194,10061,1249,177.818548,284.579598
191,Kanade tachibana AB!,194,258,,88.109551,178.733581
193,Lanwi1,193,1583,904,61.596386,285.559649
194,SNOW RIDE,190,460,,60.102204,120.717244
195,タペストリー,189,1351,,20.193548,223.568788
195,202.35.124.66,189,963,,-13.276,48.052886
197,蓮音,188,56058,42,185.548,121.465055
198,Claw of Slime,187,4748,2327,139.300203,286.260097
199,Nova replet laetitia,186,186,20,77.813559,195.539365
200,Gtorew,184,2794,,65.307847,175.463651
